"Step","train/loss","fresh-mountain-14 - train/loss__MIN","fresh-mountain-14 - train/loss__MAX","eval/loss","fresh-mountain-14 - eval/loss__MIN","fresh-mountain-14 - eval/loss__MAX"
"200","4.6849","4.6849","4.6849","","",""
"201","1.7904","1.7904","1.7904","","",""
"202","1.5561","1.5561","1.5561","","",""
"203","1.7229","1.7229","1.7229","","",""
"204","1.505","1.505","1.505","","",""
"205","1.4191","1.4191","1.4191","","",""
"206","1.8289","1.8289","1.8289","","",""
"207","1.7989","1.7989","1.7989","","",""
"208","2.3153","2.3153","2.3153","","",""
"209","1.9952","1.9952","1.9952","","",""
"210","1.8542","1.8542","1.8542","","",""
"211","1.3296","1.3296","1.3296","","",""
"212","2.1162","2.1162","2.1162","","",""
"213","2.6627","2.6627","2.6627","","",""
"214","1.644","1.644","1.644","","",""
"215","2.2042","2.2042","2.2042","","",""
"216","1.7093","1.7093","1.7093","","",""
"217","2.1227","2.1227","2.1227","","",""
"218","1.9948","1.9948","1.9948","","",""
"219","2.4612","2.4612","2.4612","","",""
"220","2.4282","2.4282","2.4282","","",""
"221","2.1996","2.1996","2.1996","","",""
"222","1.5691","1.5691","1.5691","","",""
"223","2.0327","2.0327","2.0327","","",""
"224","1.8306","1.8306","1.8306","","",""
"225","2.3429","2.3429","2.3429","","",""
"226","2.2718","2.2718","2.2718","","",""
"227","2.3061","2.3061","2.3061","","",""
"228","2.4684","2.4684","2.4684","","",""
"229","1.8162","1.8162","1.8162","","",""
"230","1.7822","1.7822","1.7822","","",""
"231","1.8605","1.8605","1.8605","","",""
"232","1.9947","1.9947","1.9947","","",""
"233","2.0776","2.0776","2.0776","","",""
"234","2.3494","2.3494","2.3494","","",""
"235","2.4259","2.4259","2.4259","","",""
"236","1.6228","1.6228","1.6228","","",""
"237","2.252","2.252","2.252","","",""
"238","1.2836","1.2836","1.2836","","",""
"239","2.3867","2.3867","2.3867","","",""
"240","1.5413","1.5413","1.5413","","",""
"241","2.4643","2.4643","2.4643","","",""
"242","2.4427","2.4427","2.4427","","",""
"243","2.3311","2.3311","2.3311","","",""
"244","2.0547","2.0547","2.0547","","",""
"245","1.8746","1.8746","1.8746","","",""
"246","2.1553","2.1553","2.1553","","",""
"247","1.8454","1.8454","1.8454","","",""
"248","1.8986","1.8986","1.8986","","",""
"249","2.407","2.407","2.407","","",""
"250","2.3457","2.3457","2.3457","","",""
"251","1.6961","1.6961","1.6961","","",""
"252","2.4061","2.4061","2.4061","","",""
"253","2.2787","2.2787","2.2787","","",""
"254","2.3067","2.3067","2.3067","","",""
"255","2.4481","2.4481","2.4481","","",""
"256","1.9779","1.9779","1.9779","","",""
"257","1.9104","1.9104","1.9104","","",""
"258","2.3911","2.3911","2.3911","","",""
"259","2.1163","2.1163","2.1163","","",""
