"Step","train/loss","good-gorge-19 - train/loss__MIN","good-gorge-19 - train/loss__MAX","eval/loss","good-gorge-19 - eval/loss__MIN","good-gorge-19 - eval/loss__MAX"
"245","1.7763","1.7763","1.7763","","",""
"246","1.7888","1.7888","1.7888","","",""
"247","1.4693","1.4693","1.4693","","",""
"248","1.4243","1.4243","1.4243","","",""
"249","1.1492","1.1492","1.1492","","",""
"250","1.3636","1.3636","1.3636","","",""
"251","1.5522","1.5522","1.5522","","",""
"252","1.5886","1.5886","1.5886","","",""
"253","1.7217","1.7217","1.7217","","",""
"254","0.9539","0.9539","0.9539","","",""
"255","1.3255","1.3255","1.3255","","",""
"256","1.5938","1.5938","1.5938","","",""
"257","1.7107","1.7107","1.7107","","",""
"258","0.7308","0.7308","0.7308","","",""
"259","1.0867","1.0867","1.0867","","",""
"260","0.9797","0.9797","0.9797","","",""
"261","1.7075","1.7075","1.7075","","",""
"262","1.9043","1.9043","1.9043","","",""
"263","1.5734","1.5734","1.5734","","",""
"264","0.6978","0.6978","0.6978","","",""
"265","1.4012","1.4012","1.4012","","",""
"266","1.6231","1.6231","1.6231","","",""
"267","1.7174","1.7174","1.7174","","",""
"268","1.861","1.861","1.861","","",""
"269","0.7214","0.7214","0.7214","","",""
"270","1.9295","1.9295","1.9295","","",""
"271","1.6217","1.6217","1.6217","","",""
"272","0.7723","0.7723","0.7723","","",""
"273","0.7728","0.7728","0.7728","","",""
"274","1.9452","1.9452","1.9452","","",""
"275","1.6184","1.6184","1.6184","","",""
"276","2.0169","2.0169","2.0169","","",""
"277","1.5459","1.5459","1.5459","","",""
"278","1.8755","1.8755","1.8755","","",""
"279","1.6758","1.6758","1.6758","","",""
"280","1.7297","1.7297","1.7297","","",""
"281","1.7932","1.7932","1.7932","","",""
"282","1.7842","1.7842","1.7842","","",""
"283","2.0976","2.0976","2.0976","","",""
"284","1.2241","1.2241","1.2241","","",""
"285","1.9389","1.9389","1.9389","","",""
"286","2.14","2.14","2.14","","",""
"287","1.7597","1.7597","1.7597","","",""
"288","1.6041","1.6041","1.6041","","",""
"289","0.6513","0.6513","0.6513","","",""
"290","2.1041","2.1041","2.1041","","",""
"291","1.5263","1.5263","1.5263","","",""
"292","1.7571","1.7571","1.7571","","",""
"293","1.5309","1.5309","1.5309","","",""
"294","0.9485","0.9485","0.9485","","",""
"295","1.9943","1.9943","1.9943","","",""
"296","1.7196","1.7196","1.7196","","",""
"297","1.0584","1.0584","1.0584","","",""
"298","1.5553","1.5553","1.5553","","",""
"299","2.0659","2.0659","2.0659","","",""
"300","0.7353","0.7353","0.7353","","",""
"301","1.6987","1.6987","1.6987","","",""
"302","","","","1.7259949445724487","1.7259949445724487","1.7259949445724487"
"303","1.4459","1.4459","1.4459","","",""
"304","1.7538","1.7538","1.7538","","",""
"305","2.0279","2.0279","2.0279","","",""
"306","1.5814","1.5814","1.5814","","",""
"307","2.0282","2.0282","2.0282","","",""
"308","1.6937","1.6937","1.6937","","",""
"309","1.6974","1.6974","1.6974","","",""
"310","1.9607","1.9607","1.9607","","",""
"311","0.7525","0.7525","0.7525","","",""
"312","1.6891","1.6891","1.6891","","",""
"313","1.8048","1.8048","1.8048","","",""
"314","1.9255","1.9255","1.9255","","",""
"315","0.6682","0.6682","0.6682","","",""
"316","0.9954","0.9954","0.9954","","",""
"317","1.1197","1.1197","1.1197","","",""
"318","1.5871","1.5871","1.5871","","",""
"319","1.9346","1.9346","1.9346","","",""
